tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17555427	1.17	0.32	0.66	0.59	0.01	0.53	0.20	0.48	0.12	0.33
17555527	0	0.29	0.27	0.46	0.02	0.46	0.20	0.47	0.08	0.26
17555727	0.24	0.34	0.72	0.44	0.02	0.45	0.32	0.49	0.08	0.24
17555827	0.23	0.31	0.43	0.42	0.02	0.44	0.35	0.47	0.08	0.27
17555927	0.16	0.39	0.26	0.49	0.02	0.48	0.39	0.46	0.08	0.25
17556027	0.50	0.31	0.62	0.45	0.02	0.53	0.79	0.49	0.08	0.26
17556128	0.59	0.31	0.29	0.52	0.03	0.47	0.34	0.51	0.08	0.30
17556228	1.00	0.33	0.30	0.47	0.34	0.66	0.40	0.49	0.09	0.29
17556328	0.57	0.36	0.39	0.47	0.35	0.62	0.51	0.47	0.09	0.21
17556428	0.41	0.36	0.61	0.55	0.35	0.54	0.40	0.51	0.10	0.26
17556528	0.58	0.31	0.67	0.58	0.38	0.51	0.39	0.51	0.09	0.26
17556628	0.68	0.44	0.38	0.49	0.34	0.45	0.42	0.53	0.10	0.26
17556728	0.44	0.37	0.52	0.50	0.43	0.48	0.40	0.46	0.12	0.26
17556828	0.52	0.30	0.41	0.52	0.36	0.45	0.41	0.47	0.09	0.25
17556928	0.54	0.32	0.33	0.44	0.31	0.60	0.40	0.47	0.13	0.28
17557028	0.50	0.38	0.53	0.49	0.33	0.54	0.38	0.50	0.09	0.25
17557128	0.55	0.35	0.65	0.64	0.38	0.53	0.39	0.49	0.09	0.29
17557228	1.01	0.35	0.35	0.48	0.36	0.52	0.48	0.47	0.08	0.25
17557328	0.52	0.32	0.56	0.62	0.31	0.62	0.48	0.49	0.11	0.28
17557428	0.50	0.33	0.34	0.58	0.29	0.61	0.43	0.52	0.08	0.38
17557528	0.80	0.35	0.32	0.55	0.69	0.60	0.46	0.54	0.11	0.29
17557628	0.59	0.33	0.53	0.60	0.63	0.53	0.46	0.50	0.14	0.32
17557728	0.43	0.36	0.38	0.54	0.36	0.58	0.40	0.49	0.09	0.29
17557828	0.54	0.40	0.31	0.63	0.51	0.53	0.42	0.51	0.10	0.27
17557928	0.43	0.26	0.45	0.57	0.39	0.57	0.45	0.54	0.10	0.31
17558029	0.45	0.42	0.45	0.64	0.36	0.51	0.40	0.53	0.12	0.26
17558129	0.50	0.45	0.65	0.70	0.37	0.52	0.46	0.46	0.12	0.34
17558229	0.44	0.36	0.56	0.60	0.36	0.51	0.51	0.46	0.19	0.28
17558329	0.47	0.36	0.58	0.56	0.37	0.62	0.43	0.49	0.12	0.30
17558428	0.68	0.32	0.35	0.59	0.36	0.60	0.48	0.51	0.10	0.34
17558528	0.58	0.39	0.42	0.67	0.53	0.57	0.51	0.50	0.10	0.30
17558628	0.73	0.41	0.60	0.70	0.74	0.52	0.52	0.50	0.09	0.29
17558728	0.62	0.35	0.42	0.58	0.64	0.57	0.48	0.52	0.12	0.28
17558828	0.55	0.39	0.37	0.66	0.49	0.68	0.54	0.53	0.09	0.32
17558928	0.60	0.36	0.48	0.61	0.33	0.57	0.51	0.49	0.10	0.28
17559028	0.73	0.36	0.37	0.62	0.54	0.56	0.47	0.55	0.11	0.34
17559128	0.60	0.36	0.38	0.55	0.59	0.60	0.48	0.52	0.10	0.29
17559228	0.46	0.47	0.62	0.54	0.38	0.60	0.41	0.51	0.08	0.32
17559328	0.61	0.39	0.38	0.54	0.36	0.55	0.52	0.54	0.18	0.34
17559428	0.50	0.63	0.27	0.74	0.70	0.62	0.46	0.51	0.14	0.29
17559528	0.48	0.44	0.56	0.59	0.46	0.49	0.45	0.47	0.11	0.36
17559628	0.64	0.34	0.36	0.68	0.35	0.52	0.46	0.47	0.12	0.33
17559728	0.86	0.36	0.28	0.50	0.34	0.58	0.46	0.53	0.10	0.29
17559828	0.98	0.36	0.61	0.61	0.34	0.45	0.49	0.47	0.23	0.28
17559928	0.78	0.33	0.51	0.48	0.30	0.44	0.49	0.48	0.15	0.28
17560409	0.74	0.38	0.30	0.65	0.70	0.55	0.59	0.52	0.11	0.30
17560522	0.55	0.23	0.70	0.44	0.37	0.54	0.62	0.51	0.08	0.29
17560628	0.52	0.29	0.29	0.64	0.35	0.50	0.48	0.49	0.10	0.32
17560868	0.49	0.35	0.75	0.56	0.68	0.59	0.48	0.46	0.17	0.28
17560982	0.42	0.39	0.65	0.66	0.35	0.48	0.51	0.47	0.19	0.28
17561087	0.60	0.36	0.38	0.48	0.57	0.54	0.47	0.51	0.11	0.27
17561204	0.52	0.32	0.65	0.50	0.47	0.57	0.48	0.55	0.25	0.28
17561422	0.63	0.40	0.49	0.65	0.35	0.55	0.57	0.51	0.10	0.29
17561526	0.60	0.36	0.35	0.55	0.33	0.57	0.48	0.53	0.10	0.28
17561748	0.66	0.40	0.66	0.67	0.39	0.50	0.49	0.48	0.11	0.33
17561975	0.49	0.45	0.33	0.69	0.40	0.57	0.54	0.55	0.10	0.27
17562095	0.68	0.33	0.68	0.65	0.42	0.53	0.47	0.53	0.19	0.30
17562444	0.81	0.32	0.66	0.69	0.42	0.51	0.48	0.51	0.10	0.29
17562559	0.61	0.36	0.58	0.54	0.68	0.51	0.43	0.46	0.09	0.26
17562785	0.65	0.34	0.49	0.57	0.29	0.52	0.52	0.50	0.11	0.26
17562895	0.79	0.37	0.33	0.57	0.28	0.50	0.52	0.53	0.11	0.27
17563233	0.57	0.31	0.42	0.52	0.36	0.45	0.53	0.52	0.09	0.27
