tick	_total	create	finish	memory	needList	roomUpdate	run
17516263	4686.6	95.2	0.1	1276.9	600.1	51.8	2656.5
17516363	4955.6	99.3	0.1	1364	742.5	73.2	2670.3
17516463	4917.3	68.3	0.1	1392.5	710	62.2	2676.1
17516563	5421.7	82	0.1	1434.5	723	89.7	3085
17516663	5287.4	81.6	0.1	1316.3	643.9	72.7	3166.7
17516763	5029.2	53.1	0.1	1287.8	666.5	64.1	2951.6
17516863	5243.1	80.9	0.1	1393	692.6	73.3	2997.1
17516963	5512.1	85.6	0.1	1503	799.7	58.6	3058.5
17517063	4827.4	88	0.1	1439.7	747.4	62.5	2483.7
17517163	5289.3	96.8	0.1	1373.5	796.7	67.4	2949.2
17517263	5207	79.2	0.1	1461.9	771.5	63.4	2824.8
17517363	4682.4	91.7	0.1	1307.7	694.3	63.4	2519.3
17517463	5163.1	87.1	0.1	1283.5	748.9	59.2	2978.4
17517563	4848.7	73.5	0.1	1237	702.7	52.9	2776.7
17517663	5309.6	121.7	0.1	1313.9	738	72.2	3057.9
17517763	5512	48.3	0.1	1429.1	797.4	53.6	3177.5
17517863	5297.2	104.7	0.1	1408.7	726.2	62.9	2988.9
17517963	5609.3	75.2	0.1	1323.7	781.2	80.9	3342.2
17518063	5512	71.8	0.1	1424.4	747.8	59.6	3203
17518163	5605	82.3	0.1	1396.7	718.2	68.1	3334.6
17518263	5374.1	96.2	0.1	1331	825	61	3055.6
17518363	5669.2	80.3	0.1	1337.5	761.3	60.9	3424.1
17518463	5411.4	94	0.1	1295.6	739.6	61.8	3215.6
17518563	5276.7	57.9	0.1	1276.3	705	60.2	3172.4
17518663	5387.6	70.5	0.1	1226.5	839.1	58.9	3187.7
17518763	5505.3	116.6	0.1	1334.7	763.6	61.8	3223.9
17518863	5155.2	93.6	0.2	1433.7	756.8	64.5	2800.3
17518963	5358.6	81.1	0.1	1395.5	737.1	62	3077.2
17519063	5561.7	70.3	0.1	1518.2	740.4	79.3	3148
17519163	5190.6	86.6	0.1	1515.8	707.4	75.9	2799.1
17519263	5336.1	54.6	0.1	1353.6	793.9	81.9	3046.9
17519363	5410.5	73.7	0.1	1404.6	693.2	59.6	3173.5
17519463	5260.7	75.1	0.1	1501.8	773.4	70.7	2834.7
17519563	5116.5	65	0.1	1582.3	717.1	77.1	2669.8
17519663	5291.1	76	0.1	1462	739	58.3	2950.4
17519762	6143.7	51.6	0.2	1674.5	947.8	96.8	3366
17519862	5750.4	116.2	0.2	1550.4	859.1	89.3	3127.9
17519962	6184.2	146.8	0.2	1672.9	919.5	84.8	3351.8
17520062	5532.4	121.2	0.2	1615.9	793.2	72.4	2922.1
17520162	5967.4	65.9	0.2	1754.2	801.5	73.2	3250
17520262	5253.6	139.7	0.2	1525.6	725.7	55.7	2799.8
17520362	5315.5	122.2	0.2	1597	748.3	59.6	2763.2
17520462	5598.5	44.7	0.2	1499.3	717.9	63.6	3266.6
17520562	5389.8	74.4	0.2	1468.9	786.3	63.2	2990.4
17520662	4959.7	73.8	0.2	1409.3	705.2	66.8	2697.8
17520762	5185.5	84.3	0.2	1316.3	720.3	57.1	3001.1
17520862	5119	66.4	0.4	1480.8	773.9	54.8	2736.8
17520962	5295.4	106.6	0.2	1492.6	716.2	63.9	2910.2
17521062	5359.3	94.1	0.2	1420.9	746.8	73.6	3017.8
17521162	5457.4	116.8	0.2	1536.1	807	57.3	2934
17521262	5284.3	77.1	0.2	1401.4	728.7	67.2	3003.6
17521362	5798.6	114.3	0.2	1698.5	801.5	60.6	3117.5
17521462	5452.1	78.6	0.2	1419.1	830.2	56.2	3062.5
17521562	5363.9	82.3	0.2	1512.3	754.2	69.4	2939.6
17521662	5672.7	129.5	0.2	1608.1	783.6	67.9	3077.2
17521762	5900.8	121.1	0.2	1746.9	697.7	60	3268.7
17521862	5444.6	79.6	0.2	1625.1	687.4	59.7	2987.3
17521962	5656.9	78.1	0.1	1752.2	717.5	82.8	3020.9
17522062	5385.3	35.2	0.1	1680.3	725.4	68.6	2870.2
17522162	5713.5	71.8	0.1	1685.7	767.6	69.4	3113.2
17522262	5566.5	77.6	0.2	1729.1	771.9	65	2916.4
