tick	antikeeper	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17588581	0.74	0.34	0.63	0.51	0.22	0.20	0.48	0.13	0.34
17588681	0	0.40	0.76	0.42	0.32	0.18	0.45	0.08	0.26
17588781	0.53	0.28	0.35	0.57	0.27	0.20	0.44	0.10	0.27
17588881	0.52	0.49	0.27	0.50	0.26	0.15	0.47	0.18	0.28
17588981	0.46	0.41	0.66	0.43	0.26	0.16	0.48	0.10	0.28
17589081	0.44	0.27	0.37	0.48	0.30	0.20	0.50	0.12	0.30
17589181	0.44	0.38	0.24	0.47	0.33	0.21	0.50	0.25	0.25
17589281	0.44	0.33	0.30	0.50	0.38	0.25	0.48	0.25	0.28
17589381	0.43	0.34	0.60	0.53	0.33	0.33	0.48	0.17	0.37
17589481	0.63	0.29	0.61	0.49	0.56	0.46	0.46	0.22	0.29
17589581	0.63	0.37	0.29	0.57	0.56	0.52	0.52	0.11	0.28
17589681	0.81	0.40	0.50	0.54	0.56	0.53	0.52	0.09	0.35
17589781	0.69	0.38	0.73	0.57	0.58	0.69	0.49	0.11	0.31
17589881	0.64	0.28	0.55	0.52	0.58	0.61	0.50	0.08	0.28
17589981	0.81	0.31	0.47	0.58	0.51	0.50	0.48	0.09	0.29
17590081	0.82	0.33	0.64	0.51	0.56	0.44	0.47	0.08	0.35
17590181	0.75	0.35	0.45	0.53	0.50	0.42	0.50	0.17	0.29
17590281	0.64	0.40	0.46	0.52	0.58	0.46	0.49	0.12	0.28
17590381	0.65	0.37	0.65	0.49	0.60	0.36	0.53	0.11	0.27
17590481	0.74	0.43	0.46	0.47	0.58	0.40	0.51	0.11	0.31
17590581	0.68	0.37	0.43	0.53	0.61	0.44	0.45	0.10	0.33
17590681	0.54	0.38	0.66	0.58	0.52	0.44	0.48	0.09	0.29
17590781	0.65	0.39	0.32	0.46	0.60	0.49	0.50	0.22	0.34
17590881	0.61	0.30	0.40	0.61	0.55	0.43	0.50	0.11	0.32
17590981	0.50	0.26	0.39	0.54	0.57	0.48	0.52	0.10	0.28
17591081	0.55	0.36	0.39	0.53	0.53	0.45	0.50	0.09	0.29
17591181	0.80	0.31	0.39	0.48	0.50	0.52	0.47	0.08	0.30
