tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17507212	0.52	0.40	0.44	0.58	0.22	0.44	0.48	0.49	0.08	0.29
17507312	0.47	0.35	0.42	0.51	0.14	0.47	0.44	0.51	0.08	0.31
17507412	0.52	0.33	0.49	0.50	0.30	0.52	0.45	0.51	0.08	0.32
17507512	0.48	0.28	0.39	0.42	0.15	0.44	0.48	0.50	0.08	0.24
17507612	0.46	0.32	0.49	0.44	0.36	0.48	0.45	0.46	0.08	0.23
17507712	0.45	0.33	0.35	0.42	0.39	0.49	0.44	0.46	0.08	0.24
17507812	0.57	0.30	0.79	0.52	0.36	0.42	0.51	0.49	0.14	0.30
17507927	0.75	0.33	0.61	0.67	0.39	0.48	0.53	0.51	0.15	0.26
17508187	0.97	0.29	0.97	0.61	0.33	0.44	0.48	0.49	0.09	0.27
17508407	0.96	0.27	0.26	0.47	0.48	0.39	0.52	0.49	0.07	0.27
17508743	0.59	0.30	0.30	0.39	0.44	0.40	0.46	0.50	0.09	0.20
17508858	0.40	0.27	0.73	0.58	0.37	0.49	0.48	0.53	0.08	0.27
17508972	0.49	0.38	0.33	0.51	0.41	0.45	0.49	0.50	0.08	0.29
17509173	0.50	0.23	0.72	0.29	0.49	0.54	0.54	0.48	0.16	0.18
17509273	0.52	0.37	0.41	0.71	0.51	0.46	0.55	0.49	0.09	0.27
17509373	0.54	0.36	0.34	0.67	0.58	0.47	0.42	0.50	0.07	0.27
17509473	0.48	0.29	0.51	0.59	0.34	0.48	0.30	0.47	0.08	0.29
17509574	0.49	0.27	0.51	0.55	0.45	0.49	0.42	0.49	0.07	0.29
17509674	1.09	0.31	0.34	0.41	0.40	0.48	0.46	0.48	0.08	0.22
17509774	0.85	0.33	0.73	0.59	0.35	0.47	0.57	0.46	0.08	0.26
17509874	0.87	0.30	0.55	0.52	0.39	0.48	1.00	0.49	0.07	0.28
17509974	1.15	0.37	0.28	0.52	0.50	0.46	0.79	0.50	0.08	0.27
17510074	1.19	0.35	0.59	0.46	0.41	0.50	0.50	0.50	0.07	0.28
17510174	1.33	0.31	0.60	0.45	0.58	0.46	0.49	0.51	0.08	0.29
17510274	0.69	0.32	0.69	0.57	0.57	0.44	0.43	0.45	0.08	0.45
17510374	0.76	0.26	0.47	0.54	0.39	0.48	0.49	0.45	0.17	0.22
17510476	0.67	0.31	0.40	0.60	0.39	0.49	0.43	0.50	0.15	0.29
17510600	0.36	0.30	0.73	0.47	0.60	0.45	0.45	0.44	0.19	0.27
17510728	0.64	0.30	0.58	0.58	0.40	0.46	0.52	0.46	0.09	0.28
17510859	0.59	0.31	0.55	0.65	0.42	0.45	0.51	0.50	0.11	0.36
17510975	0.51	0.30	0.57	0.49	0.41	0.50	0.49	0.48	0.08	0.29
17511089	0.54	0.33	0.56	0.64	0.46	0.48	0.50	0.47	0.09	0.28
17511324	0.74	0.31	0.51	0.65	0.42	0.43	0.55	0.49	0.09	0.26
17511432	0.71	0.27	0.48	0.43	0.65	0.46	0.49	0.52	0.10	0.25
17511555	0.52	0.34	0.58	0.66	0.44	0.41	0.49	0.50	0.10	0.28
17511670	1.09	0.34	0.45	0.63	0.31	0.42	0.50	0.45	0.16	0.29
17511796	1.13	0.31	0.58	0.44	0.41	0.48	0.50	0.42	0.09	0.27
17511923	0.64	0.34	0.43	0.63	0.56	0.53	0.50	0.48	0.18	0.33
17512050	0.73	0.35	0.86	0.60	0.28	0.42	0.53	0.49	0.08	0.27
17512157	0.56	0.27	0.60	0.56	0.06	0.36	0.46	0.51	0.09	0.28
17512269	0.57	0.25	0.70	0.55	0.37	0.47	0.55	0.47	0.08	0.30
17512386	0.57	0.34	0.55	0.57	0.43	0.47	0.45	0.47	0.09	0.29
17512499	0.43	0.32	0.46	0.58	0.36	0.48	0.59	0.48	0.09	0.28
17512621	0.60	0.36	0.61	0.60	0.07	0.42	0.49	0.50	0.09	0.27
17512854	0.54	0.34	0.58	0.44	0.19	0.46	0.42	0.51	0.07	0.32
17512976	0.52	0.34	0.55	0.55	0.50	0.52	0.49	0.43	0.12	0.24
17513091	0.49	0.26	0.41	0.37	0.39	0.46	0.49	0.46	0.09	0.28
17513220	0.73	0.32	0.63	0.63	0.63	0.48	0.51	0.49	0.19	0.30
17513582	0.89	0.33	0.51	0.62	0.19	0.36	0.49	0.50	0.07	0.30
17513698	1.02	0.29	0.91	0.50	0.09	0.37	0.51	0.51	0.08	0.35
17513815	0.95	0.34	0.77	0.53	0.22	0.40	0.60	0.45	0.06	0.29
17513924	0.91	0.34	0.63	0.44	0.55	0.53	0.78	0.45	0.07	0.27
17514042	0.58	0.34	0.63	0.50	0.44	0.52	0.77	0.50	0.08	0.24
