tick	_total	create	finish	memory	needList	roomUpdate	run
17527564	6158.5	59.6	0.1	1605.5	731.5	50.1	3705.9
17527664	5905.5	28.7	0.1	1649.4	810.9	47	3363.6
17527764	5965.2	11.6	0.1	1727.9	807.1	69.3	3343.7
17527864	5986.1	60.7	0.2	1476.4	794	46.2	3602.8
17527964	6273.2	76.4	0.2	1645.2	730.6	70.8	3744.2
17528064	6332.3	39.2	0.1	1607.3	758.8	60.3	3860.6
17528164	5654	32.3	0.1	1380.7	810.3	52.7	3372.6
17528264	5310.9	23.3	0.1	1172.7	758.2	61.2	3291.2
17528364	5941.1	36.7	0.1	1358.8	828.2	49.4	3663.5
17528464	5658.9	42.4	0.1	1374.2	741.8	49.4	3446.7
17528564	5589.6	26.8	0.2	1338.3	743.7	40.5	3435.7
17528664	5436.8	26.1	0.1	1245.7	730	43.2	3386.9
17528764	5436.6	18	0.1	1267.4	735.9	47.5	3363.4
17528864	5360.7	25.4	0.1	1202.3	754.9	67.3	3292.9
17528964	5810.2	10.1	0.1	1234.9	752.8	43.5	3764.2
17529064	5705	11	0.1	1265.6	764.2	51.2	3608.1
17529164	5120.8	45.2	0.1	1142.9	725	44	3159
17529264	5558.2	56.5	0.1	1157.8	715.1	43.1	3580.9
17529364	5409.5	19.3	0.1	1129.4	691.8	44.7	3519.8
17529464	4913.1	9	0.1	1084.9	690.2	46.9	3077.4
17529564	4668.9	24.7	0.1	1135.3	770.4	52.3	2681.2
17529664	4592.8	20.3	0.1	1139.9	795.6	46.4	2585.9
17529764	4509.6	22.7	0.2	1167.1	765.1	44.7	2505.2
17529864	4307.3	83.5	0.1	1201.2	678.9	51.9	2287.3
17529964	5819.9	100.1	0.2	1638.6	890.1	69.4	3115.4
17530064	5328.9	86.8	0.2	1675	849.9	52.8	2658.5
17530164	5452.8	96.1	0.2	1771	803.7	53.3	2723.1
17530264	5479.8	146.5	0.2	1680.2	809.8	57.5	2780.3
17530364	5371.5	112.7	0.2	1605.2	756.9	47.2	2843.9
17530464	5305.7	92.1	0.2	1672.9	793.8	56.2	2685.4
17530564	5487.9	113.2	0.2	1754.8	752.7	64.7	2797.1
17530664	5227.2	76	0.2	1587.4	769.3	50.5	2738.4
17530764	5635.2	118.3	0.2	1722.7	771.6	94.3	2923.1
17530864	5415.3	128.9	0.2	1543.2	888.4	67.5	2780.9
17530964	6065.5	139.9	0.2	1612.8	918.6	67	3319.8
17531064	5646.4	147.8	0.2	1313.3	799.8	62.3	3316.9
17531164	5706.9	107.2	0.2	1596.7	716	50.3	3220.1
17531264	5115.9	78.7	0.1	1482.1	689.8	45	2814.6
17531364	5092.3	75.9	0.2	1492.1	706.1	63.6	2733.3
17531464	5057.4	79.8	0.2	1574.2	710.3	51.5	2635.9
17531564	5331	115.4	0.2	1603.4	639.3	50.9	2916
17531664	5387	97.8	0.1	1554.8	685.7	45.8	2996.9
17531764	5092.4	76.6	0.1	1314.2	717.5	67	2911.7
17531864	4833.2	70	0.1	1070.3	677.2	48.5	2962.6
17531964	5475.6	77.8	0.1	1284.9	645.2	52	3410.6
17532064	4899.1	89.5	0.3	1218.6	624.4	49.2	2907.7
17532164	4812.6	66.2	0.1	1149.4	651.4	46.8	2893.1
17532264	5119.8	87.1	0.1	1178.9	655.1	47.6	3146
17532364	5153.7	83.8	0.1	1159.2	719.6	48.1	3137.5
17532464	4896.9	78.3	0.1	1138.3	735.9	46.2	2892.9
17532564	5154.2	96.5	0.1	1247.7	683.3	51.1	3068.9
17532664	5913.2	128.2	0.2	1418.6	849.3	53.6	3456.8
17532764	5750.5	99.9	0.2	1540.6	748.9	38.7	3314.7
17532864	5708.5	60.3	0.2	1664.7	772.9	52.4	3150.8
17532964	5690.5	83.2	0.2	1424.9	807.2	49.9	3319.3
17533064	5815.5	114.1	0.2	1505	843.7	55.4	3291.2
17533164	5671	88.6	0.2	1606.1	763.7	74.3	3132.1
17533264	5124.7	76	0.2	1508.1	715.5	50.6	2768.7
17533364	5508.8	91.2	0.2	1445.8	700.5	50.1	3215
17533464	5653.8	56.5	0.2	1455.3	709.9	66.4	3358.5
17533565	5985.3	77.8	0.2	1613.2	951.9	50.7	3285.1
17533665	5308.2	96	0.1	1382.5	784.6	56	2982.7
17533765	5805.9	117.8	0.1	1335.2	743.4	68.5	3535.5
17533865	5675.6	139.7	0.2	1456.2	717.3	54.1	3287.9
17533965	5121	45.9	0.2	1276.7	740.3	48.7	3003.1
17534065	5119.6	111.6	0.2	1218.4	682.3	45.4	3055.5
17534165	5404.7	86.7	0.2	1298.2	779.8	48.3	3185
17534265	5176.1	94.6	0.2	1245.4	755.7	50	3023.7
17534365	5203.2	116.1	0.2	1287.4	710	45.2	3026.2
17534465	5246.1	102.3	0.2	1266.9	760.7	57.7	3051.7
17534565	5357.7	71.3	0.2	1336.9	742.1	54.8	3145.7
17534665	5389.4	122.6	0.2	1459.5	709.4	61.6	3029.1
17534765	4962.7	67.4	0.2	1438.5	766.4	50.4	2634
17534865	5247.5	93.9	0.2	1256.6	712.6	48.5	3129
17534965	5505.1	101.7	0.2	1288.4	684.4	70.9	3352.8
17535065	5104.3	61	0.2	1316.9	697.2	47.3	2975.2
17535165	4886.3	63.7	0.2	1048.4	721.2	47	2999.5
17535265	4926.6	89.4	0.2	1089.3	726	46	2969.8
17535365	5182.5	104.6	0.2	1196.5	770	47.8	3056.7
17535465	5338.9	69.3	0.2	1192.4	741.1	54.3	3275
17535565	4928.6	74.8	0.2	1256.3	731.7	49	2810.9
17535665	5497.5	115.9	0.2	1209.5	725.5	51.6	3389.2
17535765	5091.6	73.9	0.2	1289.1	717.7	47.7	2957.3
17535866	4974.1	73.6	0.1	1358.1	680.6	48.6	2807.6
17535966	5004.8	95.7	0.2	1131.6	746.5	56.8	2968.9
17536066	5037.5	66.7	0.2	1240.5	734.7	55.7	2934.3
17536166	5071.4	94	0.1	1354.6	672.1	78.9	2866.5
17536266	5328.3	146.8	0.1	1298.7	664.5	62.4	3150.7
17536365	6001.6	140.2	0.2	1731	861.7	79	3182.1
17536465	5740.6	52	0.2	1877	807.2	81.1	2916.3
17536565	5987.8	112	0.2	1616.4	784.7	106.5	3361.3
17536665	5365.6	98.1	0.2	1410.6	830.3	73.7	2947.8
