tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17569669	0.31	0.33	0.36	0.58	0.05	0.48	0.20	0.54	0.09	0.27
17569769	0.29	0.34	0.51	0.47	0.04	0.31	0.17	0.49	0.11	0.33
17569869	0.82	0.35	0.39	0.47	0.01	0.27	0.21	0.50	0.07	0.31
17569969	0.63	0.33	0.29	0.52	0.02	0.42	0.17	0.51	0.10	0.34
17570069	1.03	0.26	0.36	0.44	0.03	0.29	0.18	0.53	0.11	0.35
17570169	0.74	0.28	0.25	0.58	0.02	0.29	0.18	0.48	0.09	0.25
17570269	0	0.34	0.65	0.38	0.02	0.33	0.23	0.46	0.14	0.29
17570469	0.31	0.39	0.27	0.42	0.02	0.33	0.24	0.54	0.06	0.31
17570569	0.88	0.33	0.24	0.43	0.02	0.52	0.22	0.52	0.18	0.25
17570669	0.68	0.42	0.24	0.46	0.46	0.35	0.34	0.48	0.11	0.31
17570769	0.93	0.43	0.60	0.57	0.48	0.67	0.54	0.51	0.10	0.33
17570870	0.72	0.34	0.37	0.31	0.35	0.54	0.64	0.51	0.08	0.21
17570970	0.54	0.30	0.24	0.61	0.41	0.61	0.49	0.53	0.10	0.23
17571070	0.62	0.30	0.44	0.57	0.36	0.57	0.40	0.51	0.09	0.24
17571170	0.65	0.31	0.74	0.54	0.34	0.58	0.53	0.50	0.10	0.31
17571270	0.67	0.33	0.42	0.53	0.57	0.46	0.47	0.51	0.09	0.30
17571370	0.73	0.36	0.25	0.52	0.35	0.48	0.41	0.52	0.16	0.26
17571470	0.75	0.38	0.86	0.53	0.58	0.57	0.52	0.47	0.09	0.23
17571573	0.61	0.45	0.54	0.63	0.51	0.54	0.45	0.46	0.23	0.26
17571673	0.81	0.39	0.24	0.44	0.11	0.66	0.41	0.48	0.11	0.35
17571773	0.72	0.29	0.59	0.56	0.12	0.50	0.44	0.51	0.09	0.30
17571873	0.69	0.30	0.29	0.47	0.10	0.58	0.45	0.51	0.26	0.34
17571973	0.76	0.39	0.28	0.60	0.12	0.54	0.40	0.50	0.18	0.30
17572073	0.64	0.31	0.63	0.54	0.10	0.48	0.47	0.51	0.07	0.26
17572173	0.52	0.35	0.65	0.57	0.09	0.55	0.57	0.50	0.11	0.27
17572273	0.73	0.30	0.30	0.57	0.19	0.56	0.73	0.51	0.09	0.27
17572373	0.79	0.34	0.63	0.57	0.28	0.56	0.47	0.51	0.10	0.29
17572473	0.51	0.35	0.55	0.61	0.10	0.57	0.41	0.50	0.10	0.28
17572573	0.68	0.43	0.29	0.47	0.09	0.54	0.49	0.51	0.09	0.30
17572673	0.62	0.37	0.28	0.52	0	0.58	0.42	0.49	0.10	0.28
