tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17516263	0.68	0.29	0.82	0.45	0.43	0.46	0.41	0.45	0.06	0.25
17516363	0.61	0.30	0.57	0.43	0.43	0.57	0.48	0.44	0.07	0.25
17516463	0.66	0.25	0.46	0.52	0.60	0.46	0.54	0.45	0.08	0.27
17516563	0.74	0.38	0.77	0.60	0.51	0.45	0.49	0.52	0.07	0.28
17516663	0.59	0.33	0.73	0.52	0.50	0.57	0.44	0.50	0.08	0.35
17516763	0.56	0.32	0.47	0.48	0.31	0.51	0.71	0.46	0.08	0.39
17516863	0.66	0.29	0.61	0.40	0.52	0.46	0.46	0.50	0.07	0.37
17516963	0.67	0.31	0.47	0.56	0.43	0.47	0.50	0.46	0.19	0.24
17517063	0	0.30	0.27	0.38	0.42	0.45	0.51	0.41	0.14	0.30
17517163	0.97	0.35	0.25	0.56	0.73	0.56	0.40	0.48	0.12	0.33
17517263	1.49	0.26	0.45	0.47	0.58	0.50	0.50	0.41	0.07	0.22
17517363	0.69	0.27	0.52	0.37	0.38	0.44	0.49	0.34	0.08	0.28
17517463	0.76	0.28	0.46	0.56	0.61	0.48	0.40	0.50	0.08	0.31
17517563	0.72	0.29	0.41	0.43	0.51	0.44	0.52	0.44	0.08	0.25
17517663	0.45	0.29	0.44	0.45	0.42	0.44	0.61	0.39	0.08	0.30
17517763	0.65	0.37	0.57	0.58	0.38	0.38	0.32	0.47	0.09	0.29
17517863	0.99	0.29	0.44	0.47	0.42	0.43	0.38	0.38	0.08	0.26
17517963	0.68	0.33	0.61	0.53	0.05	0.43	0.49	0.42	0.09	0.30
17518063	0.45	0.33	0.54	0.42	0.35	0.44	0.66	0.52	0.09	0.25
17518163	0.59	0.27	0.40	0.53	0.45	0.45	0.84	0.52	0.08	0.26
17518263	0.49	0.24	0.36	0.46	0.51	0.44	0.44	0.46	0.26	0.24
17518363	0.46	0.40	0.68	0.58	0.47	0.44	0.43	0.37	0.23	0.30
17518463	0.54	0.40	0.65	0.49	0.64	0.43	0.45	0.44	0.12	0.30
17518563	0.51	0.35	0.60	0.49	1.09	0.44	0.48	0.41	0.12	0.25
17518663	0.57	0.32	0.57	0.48	0.87	0.44	0.47	0.45	0.08	0.27
17518763	0.89	0.34	0.44	0.50	1.06	0.43	0.42	0.43	0.14	0.29
17518863	0.75	0.25	0.50	0.36	0.69	0.47	0.51	0.36	0.08	0.23
17518963	0.44	0.39	0.44	0.47	0.67	0.38	0.48	0.48	0.09	0.34
17519063	0.58	0.29	0.47	0.48	0.41	0.47	0.49	0.47	0.09	0.25
17519163	0.53	0.28	0.44	0.40	0.44	0.53	0.40	0.36	0.08	0.24
17519263	0.46	0.34	0.69	0.47	0.42	0.43	0.31	0.49	0.08	0.27
17519363	0.62	0.34	0.65	0.49	0.37	0.46	0.51	0.46	0.09	0.27
17519463	0.55	0.28	0.62	0.39	0.41	0.39	0.82	0.39	0.09	0.22
17519563	0.41	0.37	0.28	0.37	0.47	0.37	0.40	0.44	0.15	0.31
17519663	0.65	0.28	0.57	0.45	0.39	0.44	0.49	0.36	0.18	0.29
17519762	0.73	0.37	0.57	0.56	0.44	0.46	0.50	0.36	0.10	0.40
17519862	0.71	0.38	0.31	0.51	0.48	0.41	0.45	0.46	0.23	0.25
17519962	0.81	0.31	0.42	0.55	0.41	0.51	0.64	0.46	0.12	0.28
17520062	0.71	0.26	0.27	0.47	0.43	0.47	0.51	0.43	0.10	0.26
17520162	0.52	0.29	0.83	0.61	0.30	0.41	0.40	0.52	0.08	0.29
17520262	1.18	0.32	0.42	0.41	0.43	0.46	0.44	0.42	0.08	0.28
17520362	0.96	0.27	0.50	0.34	0.32	0.48	0.42	0.39	0.09	0.28
17520462	1.05	0.31	0.85	0.55	0.46	0.40	0.39	0.45	0.09	0.33
17520562	0.72	0.23	0.43	0.42	0.46	0.52	0.51	0.47	0.07	0.26
17520662	0.86	0.32	0.30	0.36	0.48	0.43	0.46	0.40	0.15	0.27
17520762	0.40	0.33	0.45	0.54	0.50	0.43	0.44	0.49	0.08	0.29
17520862	0.47	0.32	0.26	0.40	0.48	0.51	0.52	0.37	0.08	0.26
17520962	0.57	0.35	0.30	0.50	0.39	0.45	0.80	0.38	0.16	0.26
17521062	0.46	0.37	0.40	0.54	0.38	0.46	0.43	0.44	0.08	0.27
17521162	0.61	0.28	0.27	0.54	0.46	0.39	0.47	0.43	0.10	0.38
17521262	0.54	0.32	0.58	0.34	0.42	0.44	0.51	0.47	0.08	0.26
17521362	0.47	0.33	0.64	0.51	0.30	0.39	0.35	0.42	0.08	0.29
17521462	0.50	0.31	0.28	0.61	0.60	0.47	0.36	0.40	0.08	0.37
17521562	0.55	0.28	0.32	0.54	0.63	0.49	0.45	0.37	0.08	0.26
17521662	0.50	0.34	0.28	0.52	0.43	0.49	0.32	0.51	0.09	0.27
17521762	0.99	0.34	0.80	0.54	0.38	0.43	0.42	0.45	0.08	0.28
17521862	1.14	0.33	0.75	0.33	0.44	0.49	0.46	0.38	0.07	0.22
17521962	1.13	0.39	0.27	0.54	0.31	0.39	0.36	0.45	0.08	0.32
17522062	1.20	0.28	0.48	0.32	0.44	0.51	0.33	0.44	0.09	0.24
17522162	0.63	0.33	0.59	0.51	0.37	0.47	0.45	0.38	0.09	0.27
17522262	0.71	0.38	0.28	0.47	0.34	0.44	0.43	0.44	0.09	0.28
