tick	_total	create	finish	memory	needList	run
17393909	4587.1	18.2	0.2	805.3	708.5	3045
17394009	4711.2	19.4	0.2	773.7	701.7	3205.4
17394209	4516.5	8.2	0.2	826.4	654.9	3016.6
17394309	4550.8	5.9	0.1	729.5	692.1	3111.9
17394409	4777.7	10.1	0.1	790.4	753.9	3212.9
17394509	4208.1	9.4	0.1	689.2	656.2	2843.1
17394609	4238.4	19.3	0.1	721.8	603.5	2883.5
17394809	4374.9	21.7	0.1	845.6	704.4	2792.2
17394909	4290	17.6	0.1	697.2	581.6	2982.9
17395009	4604.8	38.4	0.1	706.7	672.2	3177.5
17395109	4217.7	33.6	0.1	682.2	589.8	2903.7
17395210	4717.8	15.8	0.1	698.6	726.4	3267.6
17395310	4356.4	16.3	0.1	736.3	634	2958.8
17395410	4336.1	11.4	0.1	810.9	598.9	2904.6
17395510	4622.2	13.8	0.1	639.8	574.9	3383.2
17395610	5015.9	6.4	0.1	796.8	566.6	3636.3
17395709	5484.1	9.6	0.1	830.3	732	3901.7
17419832	5524.2	77.3	0.1	898.1	805.7	18.1	3719
17419932	5656.6	59.6	0.1	926.8	690.4	15.2	3958.4
17420032	5728.1	46.4	0.1	875.6	736.2	16.1	4047.2
17420132	5066.8	29	0.1	825.2	731.7	14.9	3460.1
17420232	5647.2	70.6	0.1	908.6	816.9	15.3	3830.9
17420332	5622.2	16.3	0.1	782.1	711.7	13.6	4094.4
17420432	4799.9	12.2	0.1	689.5	724.3	14.3	3354.6
17420532	4833.1	20.7	0.1	721.4	650.6	15.7	3419.3
17420632	5734.3	47.9	0.2	953.2	758.5	17.7	3949.9
17420732	5611.5	34.8	0.1	946.9	716.5	17.3	3890
17420832	5512.6	28.5	0.1	831.5	723.7	16.8	3905
17420932	5383.2	51.7	0.2	819.7	752	15.4	3739.2
17421032	5205	48	0.1	815.9	688.8	16.7	3629.9
17421132	5167.4	110.7	0.1	781.6	673.5	15	3581.3
17421232	5222.7	49	0.1	779.6	725.5	17.6	3645.7
17421332	5130	44.9	0.1	781.9	644.9	13.4	3639.7
17421432	4983.8	71.5	0.1	797.9	684.2	13.1	3401
17421532	5137.2	54.7	0.1	778.6	738	15	3544.3
17421632	6041.8	93.2	0.2	950.1	790.7	18.7	4181.8
17421732	5262.5	59.7	0.1	903.1	779.2	15.8	3498.1
17421832	4951.6	56.5	0.1	804.1	717.9	17.2	3348.9
17421932	4700.4	34.3	0.4	754.1	690.7	15.4	3199
17422032	5146.2	55.8	0.1	806.6	711.6	15.1	3550.6
17422132	5470.3	59.8	0.1	945.1	704.4	15.1	3739.6
17422232	5161.3	68	0.1	910.4	673.1	14.8	3488.7
17422332	5206.2	55.4	0.1	775.1	695.8	15.4	3658.6
17422432	5226.4	78.8	0.1	918.1	684.7	14.2	3524
17422532	5409.1	28.2	0.1	874.5	745.6	14.2	3739.5
17422632	5286.5	46.8	0.2	842.9	720.5	16.8	3653
17422732	5300.1	39.2	0.1	762	786.2	15.9	3691.3
17422832	5624.4	50	0.1	865.9	793.4	16.2	3892.9
17422932	5046.9	56.5	0.1	826.1	751.2	14.6	3392.9
17423032	5199.8	26.1	0.1	744.1	710.2	15.1	3698.7
17423132	5215.2	62	0.1	773.3	733.9	15.3	3625.7
17423232	5509.4	33	0.1	827.5	741.3	14.9	3886.7
17423332	5173.5	36.4	0.1	674	734.8	14.9	3708.1
17423432	6006.8	51.8	0.1	836.8	737	15.9	4358.8
17423531	5466.7	9.8	0.8	1078.5	799.9	20	3551.7
17423631	6033.7	95.5	0.2	961.4	894.6	20.9	4054.6
17423731	5885.6	57.9	0.2	969.5	856.9	20.6	3972.9
17423831	6036.5	104.9	0.8	821	831.6	18.5	4254.3
17423931	5584.4	86.1	0.1	782.5	738.8	13.8	3958.5
17424031	5663.3	51.3	0.1	808.8	730.7	14.4	4052.5
17424131	5501.5	85.2	0.1	928.4	750.3	14.7	3717.2
17424231	5939.4	79.2	0.1	766.4	754.7	14.6	4319.6
17424331	5308.2	116.6	0.1	853.6	710	14.6	3607.4
17424431	5166.5	84	0.2	872.9	731.2	17.2	3453.7
17424531	6182.3	46.6	0.1	860.4	974.6	31.4	4261.7
17424631	6388.6	70.9	0.1	1053.3	928.5	15.8	4254
17424731	5644.6	121.3	0.1	860.4	889	14.6	3754.1
17424831	5491.3	112.3	0.1	741	735.4	14	3882.4
17424931	4811.4	79.2	0.1	702.6	718.9	13.8	3290.2
17425031	5271.8	63.7	0.2	719.5	773.9	13	3695.5
17425131	4978.8	87.3	0.1	711.1	685.6	13.5	3475.3
17425231	5213.3	91.5	0.2	759	691	13.2	3651.9
17425331	5298.3	101.6	0.1	754.9	729.4	14.6	3691
17425431	5102.6	88	0.1	844.4	797.5	15.2	3350.5
17425531	5128.2	41.5	0.1	930.3	789.3	15.5	3333.7
17425631	5324.3	130.1	0.2	838.4	744.9	16.1	3588.1
17425731	5001.5	162.7	0.2	816.3	774.2	28.4	3214
17425831	5095.2	61.6	0.1	752.8	779.9	15.7	3479.7
17425931	5239.4	81	0.1	910.4	770.6	14.7	3456.6
17426031	5629.4	80.2	0.1	946	719.6	15.3	3861.9
17426131	5248.3	99.4	0.2	878.6	689.9	15	3558.9
17426231	5216.5	81.8	0.1	795.4	719.8	74.4	3538.9
17426331	5039.2	32	0.2	789.3	781.6	28.3	3401.2
17426431	5625.9	73.1	0.2	796.9	848.3	16.5	3884.3
17426531	5370.2	114.6	0.2	712.6	881.7	16.2	3638.2
17426631	5334.2	73.2	0.1	851.9	724	14.6	3664.8
17426731	5020.9	70.9	0.2	757	714.5	16.7	3455.3
17426831	5544.6	87	0.1	879.9	714.8	16.6	3840.3
17426931	4941.4	98.6	0.1	850.8	722.1	16.6	3247.6
17427031	4938.1	97.6	0.1	806.7	698.4	15.1	3315.6
17427131	5142.8	149.6	0.1	922.4	717	13.5	3335
17427231	5147.2	88	0.2	743.6	753.5	19	3536.1
