tick	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17505011	0.33	0.41	0.49	0.66	0.43	0.47	0.07	0.35
17505111	0.35	0.41	0.50	0.44	0.48	0.42	0.15	0.33
17505211	0.39	0.65	0.62	0.44	0.44	0.46	0.12	0.36
17505311	0.34	0.40	0.44	0.57	0.51	0.38	0.07	0.28
17505411	0.46	0.39	0.50	0.45	0.43	0.44	0.08	0.34
17505511	0.37	0.39	0.65	0.71	0.44	0.50	0.08	0.32
17505611	0.33	0.38	0.54	0.51	0.44	0.43	0.07	0.30
17505711	0.35	0.39	0.47	0.50	0.53	0.51	0.08	0.34
17505911	0.27	0.70	0.59	0.62	0.45	0.44	0.08	0.35
17506011	0.28	0.31	0.52	0.43	0.49	0.49	0.07	0.32
17506111	0.35	0.51	0.55	0.45	0.45	0.52	0.07	0.33
17506211	0.32	0.56	0.54	0.50	0.44	0.49	0.07	0.23
17506311	0.22	0.30	0.53	0.47	0.52	0.48	0.07	0.25
