tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17511432	0.71	0.27	0.48	0.43	0.65	0.46	0.49	0.52	0.10	0.25
17511555	0.52	0.34	0.58	0.66	0.44	0.41	0.49	0.50	0.10	0.28
17511670	1.09	0.34	0.45	0.63	0.31	0.42	0.50	0.45	0.16	0.29
17511796	1.13	0.31	0.58	0.44	0.41	0.48	0.50	0.42	0.09	0.27
17511923	0.64	0.34	0.43	0.63	0.56	0.53	0.50	0.48	0.18	0.33
17512050	0.73	0.35	0.86	0.60	0.28	0.42	0.53	0.49	0.08	0.27
17512157	0.56	0.27	0.60	0.56	0.06	0.36	0.46	0.51	0.09	0.28
17512269	0.57	0.25	0.70	0.55	0.37	0.47	0.55	0.47	0.08	0.30
17512386	0.57	0.34	0.55	0.57	0.43	0.47	0.45	0.47	0.09	0.29
17512499	0.43	0.32	0.46	0.58	0.36	0.48	0.59	0.48	0.09	0.28
17512621	0.60	0.36	0.61	0.60	0.07	0.42	0.49	0.50	0.09	0.27
17512854	0.54	0.34	0.58	0.44	0.19	0.46	0.42	0.51	0.07	0.32
17512976	0.52	0.34	0.55	0.55	0.50	0.52	0.49	0.43	0.12	0.24
17513091	0.49	0.26	0.41	0.37	0.39	0.46	0.49	0.46	0.09	0.28
17513220	0.73	0.32	0.63	0.63	0.63	0.48	0.51	0.49	0.19	0.30
17513582	0.89	0.33	0.51	0.62	0.19	0.36	0.49	0.50	0.07	0.30
17513698	1.02	0.29	0.91	0.50	0.09	0.37	0.51	0.51	0.08	0.35
17513815	0.95	0.34	0.77	0.53	0.22	0.40	0.60	0.45	0.06	0.29
17513924	0.91	0.34	0.63	0.44	0.55	0.53	0.78	0.45	0.07	0.27
17514042	0.58	0.34	0.63	0.50	0.44	0.52	0.77	0.50	0.08	0.24
17514149	0.89	0.30	0.33	0.55	0.53	0.38	0.49	0.52	0.07	0.28
17514255	0.67	0.32	0.60	0.50	0.43	0.43	0.51	0.46	0.09	0.29
17514363	0.79	0.35	0.72	0.72	0.84	0.59	0.60	0.50	0.18	0.33
17514463	0.76	0.39	0.57	0.49	0.54	0.56	0.48	0.49	0.16	0.33
17514563	0.74	0.35	0.66	0.73	0.67	0.62	0.57	0.51	0.21	0.30
17514663	0.94	0.27	0.51	0.61	0.45	0.64	0.61	0.42	0.09	0.25
17514763	0.61	0.34	0.42	0.53	0.40	0.51	0.56	0.48	0.07	0.29
17514863	0.63	0.30	0.51	0.53	0.56	0.66	0.48	0.50	0.08	0.38
17514963	0	0.28	0.56	0.63	0.43	0.58	0.51	0.50	0.08	0.32
17515063	0	0.33	0.56	0.57	0.52	0.52	0.32	0.51	0.07	0.30
17515163	0	0.33	0.53	0.64	0.44	0.54	0.52	0.47	0.07	0.35
17515263	0	0.32	0.33	0.45	0.64	0.66	0.54	0.50	0.08	0.25
17515363	0	0.25	0.57	0.51	0.63	0.49	0.89	0.50	0.07	0.27
17515463	0.91	0.22	0.58	0.31	0.43	0.42	0.53	0.51	0.07	0.31
17515563	0.67	0.34	0.28	0.38	0.25	0.39	0.43	0.44	0.08	0.25
17515663	0.74	0.30	0.47	0.41	0.36	0.47	0.46	0.44	0.14	0.29
17515763	0.65	0.29	0.42	0.39	0.45	0.52	0.49	0.38	0.09	0.32
17515863	0.52	0.27	0.46	0.47	0.54	0.54	0.46	0.44	0.18	0.25
17515963	0.58	0.32	0.55	0.60	0.32	0.38	0.39	0.45	0.08	0.35
17516063	0.77	0.33	0.64	0.47	0.13	0.40	0.51	0.45	0.07	0.22
17516163	0.59	0.32	0.32	0.44	0.48	0.57	0.51	0.44	0.08	0.27
