tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17522362	0.48	0.30	0.38	0.36	0.46	0.47	0.34	0.38	0.19	0.28
17522462	0.51	0.30	0.37	0.45	0.51	0.51	0.56	0.34	0.11	0.25
17522563	0.52	0.37	0.27	0.46	0.46	0.47	0.43	0.46	0.08	0.27
17522663	0.52	0.30	0.33	0.46	0.50	0.42	0.51	0.47	0.08	0.31
17522763	0.50	0.32	0.54	0.47	0.49	0.42	0.52	0.41	0.08	0.26
17522863	0.54	0.30	0.29	0.31	0.45	0.44	0.51	0.48	0.07	0.34
17522963	0.47	0.34	0.25	0.36	0.49	0.45	0.46	0.46	0.08	0.24
17523063	0.48	0.25	0.25	0.39	0.46	0.40	0.59	0.43	0.09	0.26
17523163	0.56	0.33	0.48	0.44	0.56	0.36	0.42	0.47	0.08	0.30
17523263	0.53	0.37	0.46	0.50	0.48	0.39	0.39	0.41	0.08	0.23
17523363	0.66	0.29	0.25	0.44	0.50	0.47	0.45	0.43	0.08	0.23
17523463	0.58	0.31	0.39	0.56	0.51	0.40	0.49	0.47	0.09	0.32
17523563	1.66	0.26	0.68	0.48	0.38	0.48	0.50	0.36	0.09	0.28
17523663	0.87	0.23	0.33	0.45	0.29	0.46	0.49	0.36	0.16	0.24
17523763	0.75	0.40	0.28	0.46	0.41	0.39	0.38	0.47	0.09	0.29
17523863	0.69	0.28	0.40	0.40	0.45	0.43	0.69	0.47	0.09	0.29
17523963	0.33	0.31	0.52	0.67	0.41	0.47	0.51	0.37	0.08	0.22
17524064	0.53	0.34	0.42	0.49	0.40	0.53	0.40	0.48	0.09	0.27
17524164	0.74	0.28	0.31	0.42	0.44	0.45	0.50	0.42	0.08	0.28
17524264	0.53	0.26	0.60	0.48	0.53	0.48	0.53	0.44	0.09	0.30
17524364	0.75	0.36	0.44	0.58	0.41	0.43	0.44	0.50	0.10	0.25
17524464	1.00	0.27	0.35	0.52	0.83	0.46	0.48	0.45	0.09	0.21
17524565	0.67	0.28	0.60	0.43	0.82	0.44	0.46	0.38	0.09	0.25
17524665	0.41	0.33	0.83	0.46	0.56	0.36	0.36	0.48	0.08	0.30
17524765	0.59	0.29	0.45	0.46	0.47	0.44	0.43	0.45	0.09	0.27
17524865	0.61	0.38	0.44	0.51	0.59	0.40	0.39	0.39	0.10	0.23
17524965	0.48	0.33	0.79	0.44	0.44	0.32	0.33	0.44	0.10	0.31
17525065	0.69	0.35	0.54	0.48	0.62	0.43	0.41	0.44	0.07	0.30
17525165	0.69	0.25	0.40	0.54	0.42	0.45	0.53	0.40	0.13	0.25
17525265	0.43	0.36	0.66	0.48	0.41	0.40	0.40	0.43	0.15	0.34
17525364	0.45	0.31	0.79	0.56	0.25	0.42	0.48	0.44	0.09	0.25
17525464	0.96	0.31	0.29	0.64	0.21	0.45	0.57	0.44	0.11	0.22
17525564	0.56	0.43	0.74	0.60	0.19	0.45	0.56	0.53	0.11	0.29
17525664	0.60	0.33	0.45	0.52	0.20	0.44	0.55	0.50	0.09	0.27
17525764	0.80	0.32	0.27	0.51	0.08	0.38	0.53	0.47	0.10	0.26
17525864	0.42	0.29	0.59	0.53	0.09	0.42	0.46	0.48	0.09	0.28
17525964	0.59	0.28	0.56	0.49	0.15	0.33	0.47	0.50	0.07	0.28
17526064	0.69	0.26	0.33	0.24	0.13	0.41	0.51	0.50	0.08	0.18
17526164	0.56	0.35	0.24	0.56	0.10	0.38	0.42	0.50	0.09	0.26
17526264	0.49	0.32	0.81	0.47	0.08	0.44	0.48	0.41	0.18	0.23
17526364	0.82	0.33	0.50	0.63	0.21	0.40	0.50	0.44	0.17	0.28
17526464	0.58	0.28	0.25	0.50	0	0.39	0.47	0.41	0.08	0.26
17526564	0.81	0.29	0.43	0.54	0	0.50	0.48	0.48	0.08	0.28
17526664	0.97	0.50	0.73	0.54	0	0.46	0.57	0.40	0.09	0.26
17526764	0.88	0.34	0.34	0.57	0	0.36	0.64	0.49	0.06	0.26
17526864	0.61	0.35	0.37	0.53	0	0.43	0.45	0.49	0.08	0.28
17526964	0.39	0.31	0.47	0.66	0	0.42	0.46	0.50	0.11	0.26
17527064	0.42	0.38	0.29	0.53	0	0.34	0.49	0.53	0.09	0.27
17527164	0.57	0.32	0.32	0.58	0	0.41	0.45	0.48	0.09	0.28
17527364	0.65	0.27	0.41	0.56	0	0.42	0.47	0.49	0.08	0.28
17527464	0.67	0.33	0.32	0.51	0	0.44	0.50	0.49	0.09	0.25
