tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17435932	0.46	0.58	0.35	0.70	0	0.55	0.68	0.41	0.13	0.34
17436032	0.45	0.46	0.46	0.67	0	0.54	0.50	0.45	0.14	0.34
17436132	0.40	0.52	0.27	0.63	0	0.52	0.41	0.45	0.12	0.36
17436233	0.53	0.54	0.56	0.64	0	0.56	0.49	0.41	0.12	0.30
17436333	0.50	0.51	0.50	0.66	0	0.52	0.57	0.45	0.23	0.33
17436433	0.50	0.45	0.26	0.57	0	0.59	0.43	0.43	0.29	0.35
17436533	0.82	0.47	0.40	0.88	0.35	0.38	0.47	0.51	0.12	0.31
17436633	0.76	0.44	0.75	0.63	0.52	0.50	0.62	0.47	0.10	0.34
17436733	0.94	0.43	0.29	0.59	0.54	0.59	0.52	0.44	0.11	0.36
17436833	0.67	0.38	0.26	0.60	0.74	0.46	0.69	0.48	0.12	0.32
17436933	0.96	0.37	0.42	0.70	0.60	0.47	0.64	0.46	0.13	0.30
17437033	0.98	0.50	0.51	0.58	0.74	0.58	0.46	0.49	0.12	0.30
17437133	0.45	0.47	0.26	0.66	0.52	0.56	0.51	0.51	0.11	0.34
17437233	0.60	0.42	0.24	0.70	0.56	0.55	0.71	0.51	0.13	0.32
17437333	0.63	0.42	0.24	0.69	0.80	0.60	0.79	0.51	0.13	0.32
17437433	0.45	0.47	0.92	0.74	0.62	0.58	0.50	0.46	0.11	0.32
17437533	0.44	0.42	0.27	0.72	0.78	0.50	0.53	0.43	0.12	0.33
17437633	0.59	0.38	0.24	0.61	0.51	0.51	0.50	0.45	0.17	0.33
17437733	0.54	0.35	0.67	0.64	0.50	0.49	0.46	0.39	0.28	0.33
17437833	0.48	0.38	0.28	0.64	0.82	0.61	0.56	0.48	0.12	0.31
17437933	0.50	0.39	0.26	0.64	0.47	0.56	0.46	0.44	0.13	0.33
17438033	0.53	0.49	0.45	0.71	0.98	0.58	0.50	0.43	0.14	0.35
17438133	0.63	0.44	0.54	0.61	0	0.49	0.60	0.43	0.12	0.44
17438233	0.52	0.33	0.33	0.72	0	0.56	0.51	0.46	0.12	0.28
17438333	0.59	0.44	0.23	0.63	0	0.49	0.48	0.51	0.09	0.32
17438433	0.50	0.62	0.49	0.70	0	0.51	0.64	0.52	0.13	0.31
17438533	0.59	0.84	0.72	0.79	0	0.55	0.57	0.48	0.15	0.39
17438633	0.54	0.44	0.25	0.71	0	0.47	0.78	0.50	0.10	0.30
17438733	0.82	0.42	0.28	0.53	0	0.55	0.62	0.48	0.13	0.33
17438833	0.57	0.44	0.67	0.59	0	0.49	0.55	0.46	0.12	0.31
17438933	0.41	0.44	0.46	0.62	0	0.53	0.46	0.48	0.09	0.33
17439033	0.40	0.42	0.27	0.60	0	0.56	0.56	0.46	0.16	0.30
17439133	0.46	0.41	0.71	0.61	0	0.60	0.61	0.46	0.11	0.30
17439233	0.55	0.40	0.57	0.85	0	0.49	0.50	0.53	0.11	0.31
17439333	0.88	0.43	0.28	0.66	0	0.24	0.21	0.52	0.11	0.31
17439433	0	0.41	0.24	0.61	0	0.27	0.20	0.48	0.10	0.35
17439533	0	0.46	0.74	0.61	0	0.19	0.21	0.43	0.08	0.37
17439633	0	0.50	0.43	0.56	0	0.22	0.24	0.48	0.10	0.34
17439733	0.24	0.45	0.24	0.70	0	0.20	0.27	0.49	0.11	0.32
17439833	0.17	0.50	0.28	0.65	0	0.23	0.26	0.53	0.08	0.36
17439933	0.15	0.60	0.57	0.64	0	0.22	0.28	0.51	0.09	0.38
17440034	0.16	0.57	0.41	0.67	0	0.28	0.54	0.43	0.10	0.35
17440134	0.19	0.45	0.23	0.73	0.03	0.27	0.22	0.49	0.08	0.42
17440234	0.14	0.43	0.24	0.57	0.01	0.28	0.25	0.41	0.10	0.33
17440334	0.27	0.36	0.84	0.67	0.02	0.28	0.22	0.48	0.10	0.38
17440434	0.17	0.39	0.47	0.65	0.02	0.29	0.20	0.51	0.08	0.34
17440533	0.23	0.46	0.26	0.59	0.06	0.33	0.23	0.44	0.10	0.32
17440633	0.26	0.42	0.25	0.71	0.07	0.31	0.21	0.47	0.12	0.30
17440733	0.33	0.69	0.74	0.88	0.12	0.35	0.30	0.51	0.12	0.36
17440833	0.20	0.58	0.30	0.60	0.53	0.53	0.51	0.46	0.10	0.34
17440933	0.17	0.73	0.26	0.49	0.66	0.43	0.45	0.47	0.10	0.34
17441034	0.16	0.64	0.66	0.56	0.33	0.46	0.47	0.46	0.08	0.32
17441134	0.17	0.59	0.29	0.62	0.52	0.55	0.56	0.50	0.10	0.29
