tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17393909	0.51	0	0.37	0.64	0	0.48	0.71	0.50	0.10	0.31
17394009	0.46	0	0.52	0.64	0	0.56	0.50	0.51	0.12	0.37
17394209	0.62	0	0.38	0.65	0	0.47	0.49	0.50	0.11	0.35
17394309	0.42	0	0.31	0.72	0	0.51	0.39	0.51	0.14	0.35
17394409	0.41	0	0.55	0.72	0	0.50	0.47	0.46	0.12	0.31
17394509	0.37	0	0.32	0.61	0	0.53	0.38	0.46	0.11	0.30
17394609	0.41	0	0.54	0.57	0	0.52	0.33	0.51	0.13	0.30
17394809	0.41	0	0.28	0.68	0	0.51	0.41	0.48	0.11	0.32
17394909	0.43	0	0.39	0.75	0	0.50	0.41	0.46	0.13	0.28
17395009	0.44	0	0.55	0.69	0	0.54	0.49	0.40	0.12	0.30
17395109	0.41	0	0.45	0.67	0	0.52	0.43	0.49	0.20	0.30
17395210	0.44	0	0.53	0.65	0	0.56	0.76	0.50	0.13	0.34
17395310	0.50	0	0.52	0.65	0	0.50	0.51	0.44	0.11	0.34
17395410	0.44	0	0.42	0.66	0	0.48	0.51	0.52	0.11	0.31
17395510	0.51	0	0.44	0.71	0	0.66	0.42	0.50	0.14	0.29
17395610	0.50	0	0.45	0.61	0	0.75	0.50	0.45	0.09	0.30
17395709	0.57	0	0.43	0.78	0	0.75	0.47	0.46	0.17	0.31
17419832	0.45	0.54	0.26	0.99	0.61	0.50	0.49	0.51	0.13	0.33
17419932	0.89	0.60	0.52	0.67	0.73	0.57	0.46	0.53	0.16	0.35
17420032	0.51	0.51	0.56	0.90	0.66	0.52	0.46	0.49	0.13	0.34
17420132	0.54	0.47	0.28	0.66	0.48	0.51	0.40	0.48	0.16	0.32
17420232	0.51	0.59	0.35	0.70	0.41	0.53	0.42	0.44	0.32	0.34
17420332	0.51	0.38	0.78	0.81	0	0.50	0.50	0.47	0.20	0.30
17420432	0.38	0.36	0.32	0.71	0	0.48	0.47	0.46	0.17	0.32
17420532	0.56	0.39	0.27	0.82	0	0.49	0.47	0.44	0.14	0.30
17420632	0.95	0.44	0.67	0.98	0	0.43	0.38	0.47	0.11	0.34
17420732	0.58	0.41	0.31	0.68	0	0.56	0.67	0.48	0.14	0.33
17420832	0.54	0.48	0.28	0.77	0	0.54	0.79	0.47	0.14	0.33
17420932	0.41	0.46	0.56	0.74	0	0.45	0.66	0.50	0.15	0.34
17421032	0.54	0.39	0.73	0.61	0	0.43	0.71	0.49	0.10	0.34
17421132	0.45	0.45	0.34	0.71	0	0.51	0.61	0.51	0.13	0.31
17421232	0.41	0.41	0.55	0.80	0	0.49	0.49	0.50	0.12	0.33
17421332	0.57	0.53	0.52	0.70	0	0.48	0.47	0.48	0.13	0.31
17421432	0.58	0.38	0.33	0.63	0	0.51	0.51	0.49	0.11	0.34
17421532	0.48	0.57	0.34	0.56	0	0.51	0.52	0.51	0.19	0.33
17421632	0.56	0.65	0.80	0.92	0	0.47	0.48	0.40	0.20	0.29
17421732	0.89	0.37	0.57	0.60	0	0.52	0.48	0.46	0.13	0.28
17421832	0.61	0.60	0.30	0.64	0	0.43	0.46	0.51	0.13	0.32
17421932	0.60	0.42	0.35	0.64	0	0.44	0.45	0.50	0.14	0.29
17422032	0.55	0.45	0.53	0.64	0	0.46	0.46	0.48	0.12	0.31
17422132	0.46	0.43	0.31	0.82	0	0.49	0.68	0.45	0.12	0.34
17422232	0.50	0.48	0.39	0.73	0	0.47	0.47	0.47	0.15	0.32
17422332	0.51	0.53	0.31	0.69	0	0.54	0.58	0.48	0.10	0.31
17422432	0.42	0.48	0.63	0.62	0	0.47	0.46	0.50	0.13	0.33
