tick	antikeeper	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17386300	0.41	0.34	0.58	0	0.52	0.45	0.45	0.10	0.32
17386400	0.42	0.45	0.60	0	0.47	0.42	0.51	0.13	0.30
17386500	0.44	0.87	0.75	0	0.62	0.51	0.52	0.14	0.33
17386600	0.44	0.41	0.74	0	0.46	0.52	0.49	0.13	0.30
17386700	0.48	0.45	0.68	0	0.54	0.46	0.52	0.12	0.29
17386800	0.47	0.38	0.74	0	0.55	0.57	0.43	0.10	0.31
17386900	0.40	0.39	0.71	0	0.53	0.47	0.45	0.13	0.30
17387000	0.55	0.40	0.75	0	0.52	0.47	0.44	0.13	0.31
17387100	0.40	0.28	0.79	0	0.52	0.66	0.39	0.07	0.31
17387200	0.40	0.34	0.60	0	0.56	0.44	0.39	0.19	0.32
17387300	0.42	0.48	0.63	0	0.53	0.39	0.50	0.15	0.40
17387400	0.42	0.65	0.57	0	0.51	0.46	0.54	0.07	0.40
17387500	0.41	0.27	0.58	0	0.50	0.51	0.46	0.07	0.44
17387600	0.51	0.30	0.65	0	0.52	0.39	0.51	0.07	0.34
17387701	0.48	0.52	0.67	0	0.55	0.45	0.51	0.12	0.35
17387801	0.52	0.58	0.77	0	0.57	0.48	0.54	0.12	0.33
17387901	0.50	0.27	0.72	0	0.50	0.44	0.51	0.13	0.29
17388001	0.80	0.35	0.63	0	0.46	0.56	0.51	0.11	0.30
17388101	0.74	0.56	0.67	0	0.49	0.44	0.51	0.13	0.29
17388201	0.68	0.36	0.70	0	0.49	0.51	0.48	0.11	0.31
17388301	1.06	0.33	0.80	0	0.52	0.64	0.41	0.12	0.30
17388401	0.60	0.59	0.56	0	0.49	0.62	0.37	0.12	0.29
17388501	0.48	0.38	0.72	0	0.49	0.56	0.50	0.18	0.29
17388601	0.47	0.29	0.73	0	0.57	0.60	0.51	0.17	0.36
17388701	0.41	0.58	0.70	0	0.53	0.57	0.44	0.10	0.29
17388901	0.46	0.29	0.65	0.56	0.56	0.53	0.51	0.13	0.34
17389101	0.44	0.55	0.76	0.66	0.58	0.43	0.51	0.13	0.36
17389201	0.55	0.27	0.76	0.58	0.52	0.54	0.51	0.14	0.31
17389301	0.42	0.46	0.67	0.42	0.55	0.49	0.49	0.13	0.30
17389401	0.44	0.53	0.82	0.36	0.54	0.39	0.51	0.13	0.31
17389501	0.53	0.31	0.86	0.47	0.56	0.54	0.47	0.12	0.31
17389701	0.42	0.49	0.62	0.45	0.59	0.43	0.39	0.14	0.40
17390000	0.52	0.29	0.77	0.62	0.53	0.46	0.44	0.11	0.37
17390301	0.44	0.36	0.72	0.40	0.49	0.48	0.45	0.18	0.32
17390401	0.41	0.52	0.70	0.52	0.52	0.48	0.42	0.12	0.31
17390501	0.51	0.44	0.61	0.55	0.49	0.49	0.38	0.15	0.32
17390601	0.39	0.27	0.73	0.57	0.55	0.36	0.38	0.11	0.35
17390701	0.40	0.50	0.68	0	0.50	0.52	0.40	0.14	0.30
17390801	0.47	0.43	0.70	0	0.54	0.50	0.42	0.17	0.29
17390901	0.44	0.28	0.75	0	0.50	0.39	0.37	0.14	0.33
17391001	0.45	0.45	0.77	0	0.50	0.54	0.38	0.13	0.30
17391101	0.46	0.51	0.69	0	0.49	0.59	0.30	0.14	0.31
17391201	0.55	0.36	0.81	0	0.46	0.61	0.41	0.13	0.33
17391301	0.46	0.38	0.70	0	0.51	0.50	0.46	0.09	0.32
17391401	0.60	0.37	0.73	0	0.36	0.53	0.33	0.12	0.37
17391501	0.66	0.45	0.81	0	0.22	0.21	0.47	0.08	0.30
17391601	0.51	0.26	0.66	0	0.28	0.27	0.47	0.12	0.33
17391701	0.57	0.52	0.68	0	0.27	0.24	0.50	0.10	0.30
17391801	0.66	0.64	0.77	0	0.25	0.25	0.51	0.09	0.33
17392001	0.57	0.40	0.60	0	0.23	0.27	0.53	0.08	0.37
17392101	0	0.35	0.67	0	0.28	0.25	0.55	0.10	0.33
17392201	0	0.45	0.72	0	0.23	0.27	0.43	0.09	0.31
17392301	0	0.52	0.56	0	0.20	0.31	0.41	0.10	0.33
17392401	0	0.42	0.54	0	0.27	0.27	0.51	0.11	0.32
17392501	0	0.71	0.63	0	0.29	0.65	0.42	0.09	0.39
17392601	0	0.48	0.68	0	0.24	0.37	0.42	0.06	0.35
17392701	0.78	0.49	0.70	0	0.31	0.42	0.51	0.11	0.41
17392801	0.51	0.48	0.63	0	0.33	0.41	0.48	0.11	0.39
17392901	0.60	0.34	0.64	0	0.44	0.48	0.50	0.09	0.36
17393101	0.40	0.59	0.68	0	0.59	0.48	0.52	0.11	0.41
17393201	0.45	0.53	0.61	0	0.47	0.47	0.51	0.09	0.33
17393309	0.48	0.39	0.55	0	0.52	0.42	0.51	0.11	0.40
17393509	0.43	0.50	0.57	0	0.47	0.47	0.47	0.13	0.28
17393609	0.53	0.39	0.56	0	0.47	0.36	0.42	0.10	0.30
17393709	0.40	0.26	0.42	0	0.50	0.49	0.39	0.13	0.32
17393809	0.45	0.65	0.56	0	0.54	0.68	0.45	0.18	0.33
