tick	antikeeper	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17257994	0,79	0,51	0,29	0,73	0,53	0,55	0,49	0,17	0,36
17258095	0,61	0,42	0,61	0,66	0,52	0,52	0,39	0,19	0,38
17258195	0,57	0,47	0,28	0,77	0,49	0,35	0,48	0,09	0,35
17258295	0,75	0,48	0,27	0,69	0,50	0,45	0,54	0,12	0,32
17258395	0,89	0,23	0,66	0,66	0,47	0,56	0,51	0,09	0,35
17258495	0,49	0,09	0,28	0,63	0,46	0,42	0,51	0,11	0,32
17258595	0,68	0,10	0,29	0,67	0,51	0,53	0,49	0,13	0,34
17258695	0,67	0,13	0,53	0,71	0,50	0,50	0,48	0,10	0,31
17258795	0,49	0,09	0,81	0,77	0,49	0,44	0,49	0,12	0,34
