tick	antikeeper	builder	claimer	defender	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17483299	0.81	0.40	0.72	0	0.70	0.43	0.47	0.45	0.46	0.10	0.32
17483501	0.89	0.39	0.26	0	0.72	0.44	0.52	0.45	0.49	0.12	0.33
17483601	0.77	0.48	0.61	0	0.73	0.64	0.49	0.45	0.53	0.09	0.31
17483701	0.78	0.47	0.56	0	0.61	0.41	0.46	0.46	0.52	0.12	0.32
17483801	1.08	0.47	0.27	0	0.77	0.44	0.48	0.54	0.46	0.12	0.32
17483901	1.12	0.45	0.24	0	0.56	0.35	0.47	0.77	0.47	0.15	0.32
17484001	0.83	0.44	0.69	0	0.72	0.40	0.46	0.66	0.48	0.16	0.30
17484101	0	0.38	0.61	0	0.64	0.38	0.49	0.50	0.44	0.11	0.30
17484201	0	0.41	0.24	0	0.61	0.34	0.41	0.48	0.53	0.09	0.30
17484301	0	0.40	0.66	0	0.60	0.34	0.41	0.47	0.45	0.09	0.32
17484401	0	0.42	0.35	0	0.71	0.30	0.48	0.51	0.49	0.09	0.33
17484501	0.81	0.48	0.28	0	0.58	0.45	0.37	0.46	0.44	0.09	0.32
17484601	0.66	0.43	0.27	0	0.50	0.43	0.43	0.47	0.52	0.09	0.32
17484701	0.69	0.58	0.77	0	0.69	0.08	0.51	0.49	0.50	0.11	0.33
17484801	0.64	0.51	0.41	0	0.51	0.09	0.50	0.52	0.50	0.09	0.32
17484901	0.53	0.43	0.24	0	0.63	0.08	0.54	0.45	0.51	0.09	0.29
17485001	0.57	0.44	0.62	0	0.56	0.07	0.60	0.44	0.46	0.09	0.30
17485101	0.60	0.49	0.41	0	0.72	0.07	0.51	0.47	0.50	0.10	0.35
17485201	0.57	0.55	0.27	0	0.62	0.10	0.53	0.49	0.49	0.11	0.32
17485301	0.57	0.47	0.23	0	0.49	0.37	0.53	0.51	0.47	0.14	0.32
17485401	0.70	0.47	0.48	0	0.72	0.32	0.47	0.44	0.48	0.08	0.32
17485501	0.79	0.34	0.66	0	0.64	0.43	0.52	1.41	0.36	0.10	0.33
17485601	0.72	0.39	0.28	0	0.58	0.49	0.56	0.89	0.46	0.11	0.30
17485701	0.75	0.38	0.25	0	0.69	0.53	0.47	0.41	0.53	0.09	0.35
17485801	0.69	0.39	0.67	0	0.75	0.52	0.46	0.49	0.49	0.14	0.32
17485901	0.79	0.38	0.29	0	0.62	0.41	0.45	0.45	0.45	0.10	0.33
17486001	0.74	0.39	0.27	0	0.58	0.50	0.48	0.43	0.47	0.10	0.39
17486101	0	0.49	0.67	0	0.69	0.42	0.55	0.51	0.47	0.11	0.34
17486201	0	0.47	0.29	0	0.57	0.38	0.51	0.33	0.51	0.10	0.31
17486301	0	0.43	0.29	0	0.71	0.34	0.40	0.43	0.52	0.09	0.32
17486401	0	0.44	0.63	0	0.49	0.36	0.49	0.46	0.50	0.08	0.34
17486502	0.72	0.48	0.32	0	0.57	0.37	0.52	0.52	0.45	0.11	0.36
