tick	antikeeper	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17497307	0	0.37	0.61	0.43	0.47	0.43	0.47	0.17	0.35
17497407	0	0.37	0.46	0.64	0.57	0.45	0.39	0.08	0.41
17497507	0	0.39	0.51	0.55	0.48	0.46	0.46	0.09	0.37
17497607	0	0.30	0.51	0.56	0.48	0.57	0.42	0.08	0.33
17497708	0	0.33	0.45	0.56	0.68	0.88	0.40	0.09	0.36
17497808	0	0.31	0.47	0.68	0.52	0.58	0.47	0.12	0.33
17497908	0	0.33	0.45	0.48	0.45	0.49	0.40	0.08	0.33
17498008	0	0.38	0.74	0.45	0.53	0.46	0.42	0.09	0.35
17498107	0	0.39	0.42	0.63	0.50	0.47	0.51	0.10	0.33
17498207	0	0.44	0.29	0.67	0.49	0.56	0.50	0.10	0.41
17498307	0	0.38	0.76	0.60	0.65	0.52	0.46	0.10	0.37
17498407	0	0.40	0.57	0.66	0.68	0.49	0.48	0.12	0.32
17498507	0	0.41	0.29	0.57	0.43	0.45	0.47	0.07	0.31
17498607	0.93	0.37	0.38	0.55	0.48	0.44	0.46	0.07	0.33
17498707	0.62	0.35	0.62	0.56	0.53	0.44	0.46	0.08	0.35
17498807	0	0.33	0.39	0.37	0.35	0.50	0.42	0.09	0.36
17498907	0.78	0.31	0.51	0.56	0.51	0.50	0.49	0.09	0.35
17499007	0.63	0.35	0.63	0.63	0.48	0.52	0.43	0.08	0.32
17499107	0	0.36	0.58	0.54	0.62	0.91	0.51	0.08	0.38
17499207	0	0.34	0.31	0.55	0.60	0.43	0.51	0.08	0.30
17499307	0	0.31	0.71	0.51	0.54	0.47	0.48	0.08	0.30
17499407	0	0.34	0.78	0.55	0.53	0.52	0.43	0.08	0.34
17499507	0	0.37	0.27	0.46	0.58	0.45	0.51	0.07	0.30
17499607	0	0.33	0.27	0.51	0.54	0.46	0.51	0.10	0.31
17499707	0	0.34	0.45	0.42	0.45	0.51	0.47	0.08	0.32
17499807	0	0.29	0.59	0.52	0.58	0.43	0.44	0.12	0.32
17499907	0	0.32	0.27	0.51	0.49	0.44	0.45	0.08	0.32
17500007	0	0.44	0.35	0.46	0.44	0.50	0.44	0.08	0.31
17500107	0	0.36	0.77	0.57	0.58	0.51	0.48	0.08	0.33
17500207	0	0.32	0.29	0.47	0.60	0.46	0.37	0.09	0.36
17500307	0	0.34	0.29	0.44	0.38	0.54	0.41	0.07	0.30
17500407	0	0.36	0.78	0.62	0.59	0.63	0.53	0.09	0.32
17500507	0	0.34	0.72	0.64	0.48	0.44	0.51	0.09	0.38
17500607	0.86	0.40	0.41	0.67	0.50	0.49	0.49	0.08	0.32
17500707	0.62	0.34	0.65	0.51	0.47	0.44	0.49	0.10	0.35
17500907	0	0.39	0.31	0.54	0.54	0.52	0.50	0.08	0.37
17501007	0	0.38	0.55	0.65	0.54	0.47	0.47	0.10	0.35
17501107	0	0.36	0.52	0.47	0.41	0.48	0.45	0.09	0.33
17501207	0	0.34	0.28	0.52	0.44	0.51	0.44	0.07	0.32
17501308	0	0.40	0.46	0.53	0.38	0.43	0.50	0.08	0.33
17501408	0	0.31	0.29	0.50	0.47	0.46	0.38	0.08	0.32
17501508	0	0.42	0.57	0.45	0.36	0.41	0.47	0.09	0.37
17501608	0	0.39	0.54	0.65	0.49	0.47	0.50	0.10	0.33
17501708	0	0.36	0.30	0.52	0.51	0.69	0.42	0.09	0.33
17501808	0	0.37	0.49	0.48	0.43	0.51	0.46	0.08	0.34
17501908	0	0.33	0.31	0.45	0.50	0.45	0.49	0.09	0.35
17502008	0	0.37	0.47	0.54	0.49	0.45	0.47	0.08	0.30
17502108	0	0.39	0.46	0.39	0.31	0.50	0.51	0.08	0.33
17502208	0	0.33	0.36	0.60	0.61	0.44	0.44	0.08	0.33
17502308	0	0.36	0.34	0.54	0.51	0.44	0.47	0.08	0.31
17502408	0	0.31	0.56	0.49	0.45	0.53	0.50	0.08	0.29
17502508	0	0.33	0.44	0.50	0.49	0.45	0.47	0.07	0.32
17502608	0	0.52	0.30	0.57	0.56	0.50	0.51	0.08	0.41
17502708	0	0.42	0.60	0.54	0.39	0.47	0.43	0.07	0.47
