tick	_total	create	finish	memory	needList	roomUpdate	run
17588581	4912.9	15.9	0.2	1846	239.6	63.7	2741.1
17588681	5380.8	16.4	0.1	2099.8	254.2	68.8	2936
17588781	5107.3	21.1	0.1	2053.4	277.6	84.9	2664.8
17588881	5299.6	23.9	0.1	2306.3	240.9	84.2	2638.1
17588981	5326.7	28.2	0.1	2275.6	271.7	96.6	2648.8
17589081	5084.3	22	0.1	2162.6	238.8	57.9	2597.1
17589181	4977.2	21.6	0.2	2089.6	263.6	62.8	2533.4
17589281	5290.8	27.5	0.1	2167.4	255.9	77.9	2756.4
17589381	5360.6	27.5	0.2	2052.4	252.6	61.8	2960.7
17589481	5479.7	30	0.1	1933.3	247.4	68.7	3194.2
17589581	5472.6	27.6	0.1	1850.9	302.6	78.7	3207.2
17589681	5908.2	20.4	0.1	1981.7	271.3	65	3563.7
17589781	6035	24	0.1	1702.4	259.5	89	3954.8
17589881	5993.7	14.8	0.1	1970.1	243.6	60.6	3699.4
17589981	5944.5	15.1	0.1	1886.3	274.2	65.4	3698.1
17590081	6140.2	10.2	0.2	1809.8	274.1	69.3	3971.3
17590181	6148.2	15.2	0.1	1988.2	313.4	74.9	3751.2
17590281	6332.6	8.1	0.1	2038.9	336.5	69.7	3874.2
17590381	6052.6	7.9	0.2	1900	261.1	104.9	3747
17590481	6079.5	12.6	0.1	2053.9	373	74.5	3556.6
17590581	6349.4	14.6	0.1	2205.1	265	89.1	3769.5
17590681	6323.3	10.6	0.1	2061.2	282.9	73.7	3888.5
17590781	6059.5	10.4	0.1	2023.7	288.2	83	3647.3
17590881	6383.2	23.3	0.1	2382.8	303.7	96.9	3570.8
17590981	6184.6	10.2	0.1	2227.4	236.2	78.1	3593.1
17591081	6187.3	11.3	0.1	2238.6	272.2	62.6	3596.7
17591181	5942.3	9.9	0.1	2105.4	244	58.3	3518.9
