tick	_total	create	finish	memory	needList	roomUpdate	run
17507212	6805.9	95.5	0.2	1248.6	789.7	1332.1	3333.5
17507312	6593.2	89.7	0.2	1318.3	795.1	1263.9	3120.2
17507412	6770.7	84.1	0.2	1356.1	675.7	1231.7	3417.1
17507512	6503.6	131.1	0.2	1246.2	714.6	1362.8	3043.3
17507612	6766.4	110.6	0.2	1452.6	744.2	1311.4	3141.6
17507712	6900.9	172	0.2	1300.5	748.5	1588.6	3085.1
17507812	7403.5	148.1	0.2	1337	774.6	1625.6	3512.1
17507927	7083.2	82	0.2	1367	696.5	1494	3521.9
17508187	7142.6	70.6	0.1	1423.8	785.9	1395.5	3777.6
17508407	6236.6	57	0.1	1275.9	697.5	1465	2736.1
17508743	6076.4	70.3	0.1	1470.7	694.8	1208.6	2627.3
17508858	6757.3	102.8	0.1	1288.5	693.1	1306.6	3413.9
17508972	6530.9	53.7	0.1	1293.7	695.1	1443.8	3196.4
17509173	7195.2	229.9	0.2	1384.5	910.9	1462.4	3198.8
17509273	7209.2	176.3	0.3	1331.5	828.6	1430.3	3434.5
17509373	7057.2	65.3	0.1	1578.9	736.8	1463.9	3205.5
17509473	6509.2	59.1	0.1	1030.6	712.2	1514	3188.1
17509574	6617.3	81.4	0.2	1181.9	691	1447.3	3209.6
17509674	6268	134.4	0.1	1232	648.4	1342.4	2901.1
17509774	6766.9	118.3	0.1	1222.6	709	1392.4	3318.9
17509874	6896.4	79.9	0.1	1200.3	730	1540.7	3339.6
17509974	6699.4	77.4	0.1	1376	718.7	1548.2	2972.4
17510074	6617.3	114.3	0.1	1296.1	691.7	1469	3039.4
17510174	6877.1	84.7	0.1	1320.3	743.8	1616.2	3105.7
17510274	7135.2	103.8	0.1	1471.7	693	1458.1	3402.6
17510374	6653.8	62.7	0.1	1323.7	706.1	1526.3	3028.9
17510476	7188.6	59.6	0.1	1490.6	683.3	1684.9	3264
17510600	7040.3	68.4	0.1	1465.1	790.2	1587.8	3325
17510728	7111.6	79.9	0.1	1558.7	759.7	1672.7	3422.5
17510859	6977.4	135	0.1	1382.9	832.8	1519.5	3718.8
17510975	6604.6	106.8	0.1	1118.5	703	1445	3276.3
17511089	6519.3	55.6	0.1	1051.6	689.1	1476.9	3408.5
17511324	6538.3	83.2	0.5	1229.8	709.9	1395.3	3443
17511432	6309.7	83.6	0.1	1001.8	682.7	1467.6	3154.4
17511555	6718.2	128.5	0.6	1165.1	761.1	1414	3545.7
17511670	6658.9	91.7	0.1	1094.8	743.1	1423.6	3411.4
17511796	6960.2	91.3	0.1	1333.8	763.4	1708.5	3318.4
17511923	7113.2	117.2	0.1	1166.4	739.9	1643.6	3737.8
17512050	6755.2	106.5	0.1	1179.8	747.7	1685.3	3571.1
17512157	6133.8	60.6	0.1	1032.2	692.2	1529.6	2923.7
17512269	6335.8	94.5	0.1	1061.8	701.9	1404.6	3186.5
17512386	6690.7	95.1	0.1	1141.7	730.7	1448.3	3442.6
17512499	6486	85	0.1	925	711.6	1574.7	3331.6
17512621	6767.9	67.9	0.1	1239.3	751.3	1479.7	3403.4
17512854	6599	66.8	0.2	1371.9	745.6	1434.2	3155.7
17512976	6971.5	93.6	0.1	1454.8	700.4	1506.9	3382.6
17513091	6358.7	107.4	0.3	1310.6	672.8	1516.3	2917
17513220	6895.4	107.5	0.2	1333.8	699.9	1621.8	3679.2
17513582	6650.4	66.6	0.1	1281.6	793.5	1599	2999.9
17513698	6474.1	109.6	0.1	1215.2	681.6	1499.6	3256.8
17513815	6584.9	82.6	0.1	1235	729.5	1641.2	3117.2
17513924	6463.6	96	0.1	1159.3	673.8	1307.9	3220.9
17514042	6595.6	109.8	0.1	1231.7	753.7	1547.1	3289
