tick	_total	create	finish	memory	needList	roomUpdate	run
17502808	5745.8	98.9	0.1	915.1	637.9	1011.6	3076
17502908	5307.8	55.6	0.2	1076.6	620.7	959	2590.1
17503008	5201.6	89.6	0.1	918.4	574.4	983.6	2629.6
17503108	5761.5	106	0.1	976.4	709.9	983.6	2979.2
17503208	5771.5	100.9	0.2	1037.5	677.2	993.9	2955.1
17503308	5208.5	65.2	0.1	895.3	656.2	1060.7	2524.8
17503408	5647.9	148.4	0.2	1011.9	620.5	1058.8	2801.9
17503507	5364.3	80.4	0.2	962.5	640.9	970.7	2703.4
17503607	6053.5	80.3	0.2	1163.5	731.3	1070.1	3000.6
17503707	6055.6	139.5	0.2	1089.2	730.3	1069.9	3020.2
17503807	6093.7	107.9	0.2	1091.1	754.1	1000.8	3132.5
17503911	5738.7	105.1	0.2	1105.2	710	1137.1	2732.8
17504011	5666.3	112.5	0.2	1050.8	696.3	1104.9	2697.6
17504111	5785.9	162	0.1	1227.2	639	1112.4	2640.7
17504211	5794	113.9	0.2	1203.9	695.5	1161.2	2614
17504311	5916.2	127.8	0.2	1162.8	674.8	1091.5	2854.7
17504411	5936.3	88.4	0.2	1244.7	659.3	1036.2	2903.4
17504511	5208.7	67.7	0.1	1017.6	594.7	935.1	2589
17504611	5434.5	78.6	0.1	980.4	553.1	1045.8	2772.6
17504711	5099.6	69.8	0.1	979.2	573.3	1090.3	2382.5
17504811	5311.4	90.6	0.1	966.2	595.5	996.4	2658.6
17504911	5151.8	59	0.1	993.1	608.1	944.3	2543.5
