tick	antikeeper	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17239200	0,79	0,54	0,45	0	0,46	0,62	0,31	0,10	0,30
17239300	0,29	0,29	0,69	0	0,42	0,58	0,51	0,10	0,34
17239400	0,01	0,51	0,73	0	0,41	0,54	0,50	0,16	0,34
17239500	0,01	0,51	0,62	0	0,43	0,55	0,43	0,08	0,33
17239600	0,02	0,52	0,60	0	0,47	0,50	0,46	0,13	0,33
17239700	1,42	0,58	0,65	0	0,41	0,57	0,51	0,07	0,37
17239800	1,03	0,49	0,62	1,35	0,59	0,64	0,51	0,08	0,30
17239900	0,19	0,29	0,64	0,46	0,53	0,53	0,52	0,12	0,33
17240000	0,86	0,49	0,61	0,37	0,45	0,48	0,50	0,09	0,33
17240100	1,03	0,65	0,54	0,40	0,46	0,55	0,51	0,08	0,33
