tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17527564	0.67	0.29	0.50	0.65	0	0.42	0.53	0.43	0.17	0.28
17527664	0.62	0.32	0.36	0.58	0	0.39	0.39	0.46	0.08	0.25
17527764	0.59	0.32	0.35	0.59	0	0.40	0.44	0.47	0.08	0.27
17527864	0.63	0.34	0.49	0.50	0	0.44	0.48	0.45	0.20	0.30
17527964	0.73	0.31	0.59	0.58	0	0.40	0.52	0.45	0.15	0.31
17528064	0.83	0.30	0.39	0.65	0	0.46	0.64	0.47	0.09	0.31
17528164	0.86	0.31	0.38	0.46	0	0.45	0.52	0.42	0.09	0.26
17528264	1.23	0.23	0.52	0.44	0	0.41	0.45	0.49	0.08	0.24
17528364	0.71	0.34	0.58	0.59	0	0.43	0.45	0.48	0.09	0.26
17528464	0.53	0.33	0.41	0.54	0	0.44	0.46	0.48	0.09	0.28
17528564	0.45	0.32	0.52	0.56	0	0.43	0.40	0.50	0.07	0.27
17528664	0.64	0.30	0.48	0.47	0	0.42	0.46	0.49	0.10	0.23
17528764	0.72	0.29	0.38	0.60	0	0.37	0.44	0.48	0.10	0.27
17528864	0.53	0.36	0.38	0.49	0	0.41	0.43	0.45	0.08	0.27
17528964	0.47	0.36	0.71	0.55	0	0.42	0.51	0.41	0.11	0.25
17529064	0.62	0.34	0.43	0.57	0	0.45	0.42	0.52	0.15	0.28
17529164	0.61	0.32	0.50	0.54	0	0.40	0.43	0.40	0.08	0.24
17529264	0.55	0.32	0.79	0.54	0	0.42	0.47	0.46	0.08	0.26
17529364	0.67	0.32	0.53	0.58	0	0.44	0.51	0.46	0.10	0.28
17529464	0.73	0.31	0.42	0.57	0	0.34	0.42	0.49	0.08	0.29
17529564	1.55	0.29	0.48	0.50	0	0.24	0.20	0.51	0.06	0.24
17529664	0.88	0.29	0.36	0.45	0	0.22	0.23	0.50	0.07	0.28
17529764	0.66	0.32	0.50	0.39	0	0.20	0.16	0.51	0.06	0.28
17529864	0.50	0.27	0.26	0.45	0	0.19	0.20	0.47	0.11	0.29
17529964	0.68	0.36	0.80	0.53	0	0.26	0.20	0.46	0.07	0.33
17530064	0.57	0.29	0.42	0.53	0	0.25	0.20	0.49	0.06	0.26
17530164	0.79	0.32	0.28	0.53	0	0.27	0.24	0.46	0.08	0.26
17530264	0.65	0.28	0.57	0.51	0	0.25	0.21	0.48	0.15	0.25
17530364	0.57	0.29	0.69	0.50	0	0.26	0.19	0.42	0.08	0.24
17530464	0.95	0.26	0.32	0.60	0	0.25	0.21	0.48	0.10	0.28
17530564	0.93	0.24	0.40	0.50	0	0.32	0.21	0.49	0.16	0.31
17530664	2.00	0.31	0.35	0.47	0	0.36	0.29	0.43	0.12	0.34
17530764	0	0.32	0.37	0.54	0	0.37	0.60	0.46	0.07	0.29
17530864	0	0.30	0.51	0.61	0	0.32	0.32	0.49	0.09	0.30
17530964	0	0.35	0.68	0.54	0	0.52	0.44	0.54	0.09	0.26
17531064	0	0.31	0.55	0.62	0	0.57	0.50	0.48	0.10	0.25
17531164	0	0.34	0.68	0.56	0	0.51	0.53	0.49	0.08	0.29
17531264	0	0.32	0.45	0.51	0	0.48	0.44	0.50	0.08	0.28
17531364	0.86	0.29	0.44	0.46	0	0.48	0.39	0.51	0.09	0.25
17531464	0.96	0.27	0.24	0.43	0	0.51	0.43	0.48	0.07	0.25
17531564	0.78	0.28	0.27	0.61	0	0.57	0.42	0.43	0.13	0.31
17531664	0.67	0.29	0.73	0.53	0	0.50	0.51	0.46	0.15	0.24
17531764	0.59	0.32	0.48	0.55	0	0.55	0.49	0.45	0.07	0.30
17531864	0.55	0.37	0.24	0.61	0	0.52	0.42	0.44	0.26	0.30
17531964	0.58	0.30	0.58	0.65	0	0.60	0.47	0.49	0.12	0.33
17532064	0.61	0.28	0.52	0.51	0	0.48	0.53	0.41	0.07	0.28
17532164	0.56	0.24	0.27	0.57	0	0.52	0.86	0.49	0.07	0.26
17532264	0.62	0.29	0.74	0.47	0	0.55	0.66	0.51	0.08	0.25
17532364	0.61	0.31	0.50	0.49	0	0.56	0.40	0.50	0.07	0.26
17532464	0.59	0.24	0.38	0.48	0	0.56	0.39	0.48	0.07	0.21
