tick	_total	create	finish	memory	needList	roomUpdate	run
17569669	6417.5	77.8	0.2	2058	848.6	73.1	3352.4
17569769	5664	12.2	0.2	1932.4	755.9	69	2887.7
17569869	5442.5	5	0.1	1856.2	748.4	56	2771.1
17569969	5851.4	22.7	0.1	2046.3	691.8	76.1	3009
17570069	5656.2	54.9	0.2	1935.7	765.3	72.4	2821.3
17570169	5091.3	85	0.1	1488.3	725	90.2	2688.8
17570269	5549.2	143.9	0.1	2015.7	642.3	73.5	2668.5
17570469	5215.1	53	0.2	1968.4	682.2	67.9	2436.8
17570569	5711.6	105	0.2	1993.9	654.4	68.4	2883
17570669	5310.6	101.8	0.2	1722.3	697.2	72.2	2709.7
17570769	6244.5	147.4	0.2	1738.1	752.6	73.8	3524.4
17570870	5286.3	95	0.2	1790.9	660.5	80.8	2652.3
17570970	5574.1	71.9	0.2	1579.6	679.1	65.3	3171.6
17571070	5881.9	90.5	0.2	1717	717.5	68.6	3282
17571170	6378	49.2	0.1	1788.8	702.5	65.8	3765.2
17571270	5985.8	47.6	0.2	1771.9	684.1	72.8	3402.8
17571370	5686	47.6	0.1	1492.3	498.2	91.9	3550.9
17571470	6291.1	26	0.2	1577.2	312.8	82.9	4286.1
17571573	6247.2	10	0.1	1624.4	307.1	65.9	4234.8
17571673	5707.5	7.1	0.1	1632.9	286.1	68.1	3709.4
17571773	5730.9	24.3	17.3	1610.7	308.5	72	3693.8
17571873	5821.8	8.8	0.1	1714.8	271	65.7	3757.2
17571973	5935.9	11.1	0.1	1680.3	271.5	101.2	3867.8
17572073	5672.2	12.8	0.1	1776.5	270.6	65.6	3542.6
17572173	5846.4	10.1	0.1	1504.1	268.2	67.4	3992.8
17572273	6085	15.3	0.1	1739	301.9	68.3	3955.5
17572373	5957	20.4	0.1	1480.5	282	64	4105.7
17572473	6066.2	18.6	0.1	1462.6	453.3	68.8	4058.2
17572573	5401.9	9.7	0.1	1475.8	283.4	66.2	3562.5
17572673	5485.5	13.2	0.1	1499.7	253.8	54.8	3659.8
17572774	6018.3	29.6	0.1	1557.7	271.5	66.9	4087.9
17572874	5419.7	16.6	0.4	1599	283.7	77.7	3438
17572974	5254.6	7.8	0.1	1429.4	266.8	67.8	3477.6
17573074	5603.4	13.7	0.1	1669.4	302.7	60.3	3552.3
17573174	5702.3	12.1	0.1	1744.5	305.3	64.6	3569.8
17573274	5398.9	8	0.1	1693.4	277.8	78.4	3336.3
17573374	5859.2	13.6	0.1	1722.1	263.9	66.5	3788.1
17573474	5289.1	6.2	0.1	1537.8	266.8	67.3	3406.3
17573574	5491.1	15.4	0.1	1645.6	245.3	64.7	3515.2
17573675	5571.7	18.7	0.1	1635.7	331.6	92.1	3488.8
17573775	5738.4	12	0.1	1586.3	240.5	58.4	3836.4
17573875	5467	11.1	0.1	1671.3	240.8	64.9	3474
17573975	5592.1	17.4	0.2	1780.9	270.3	66.2	3452
17574075	5889.8	10.5	0.1	1855.8	267	64	3686.4
17574175	5761.9	15.1	0.1	1939.3	253.3	84	3465.2
17574275	5552.8	12.5	0.1	1833.5	264.8	64.7	3372.6
17574375	5603.7	9	0.1	1844.9	263.8	64.9	3416.2
