tick	_total	create	finish	memory	needList	roomUpdate	run
17505011	5471.2	72.7	0.1	1033.1	609.5	910.7	2841.7
17505111	5322.3	95.3	0.1	1019.8	639.6	898.8	2665
17505211	5656.1	69.8	0.1	1013.8	590.7	1000.3	2977.2
17505311	5062.8	70.5	0.1	1005.1	573.8	876.4	2533
17505411	5468.9	74.6	0.1	1106	665.9	961.8	2655.7
17505511	5766.8	105.5	0.2	999.2	591.4	1008.4	3058
17505611	5504.4	51.9	0.1	1085.9	632.8	1184.4	2544.9
17505711	5418.8	92.4	0.1	1031.7	721.2	958.3	2610.7
17505911	5857.7	68.5	0.1	1208.4	622.9	959.2	2993.6
17506011	5324.5	81.3	0.1	1021.8	670	1155.7	2391.2
17506111	5638.4	65.9	0.1	1086.8	654	1104.7	2722.3
17506211	5682.6	84.2	0.1	1048.1	742.5	1091.8	2711.3
17506311	5366.6	38.1	0.2	1217.3	683.6	1052.2	2369.2
